date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d,pre_1d,pre_5d,pre_20d,pre_60d,atr_5,atr_20,atr_ratio,pre_range_5d,vol_event,vol_5d_ratio,vol_trend,vol_surprise,d52w_high,d52w_low,consolidation_days,price_vs_ma20,price_vs_ma50,ma20_slope
2018-10-29,PNB.NS,7.18,7-10%,1.31,2.33,4.8,-0.71,flat,continuation,flat,0.76,0.68,5.84,-19.33,1.785,2.96,0.603,3.02,1.28,0.65,-1.066,1.98,38.03,13.17,6.0,1.82,-11.51,-1.043
2018-10-29,TATAPOWER.NS,12.63,10-15%,4.88,0.19,-1.61,-2.96,flat,flat,reversal,-0.14,-1.01,0.44,-4.11,2.2,3.184,0.691,3.48,6.28,0.85,-24.145,7.37,21.65,15.22,5.0,1.92,-2.87,-0.438
2018-10-29,GODREJPROP.NS,10.8,10-15%,0.96,3.62,2.39,4.48,continuation,flat,continuation,3.34,3.31,-13.19,-23.05,29.08,33.168,0.877,5.47,0.96,0.48,-5.008,2.0,42.53,14.85,0.0,-1.61,-14.47,-1.951
2018-10-30,CANBK.NS,7.58,7-10%,2.83,2.22,-4.98,-5.54,flat,reversal,reversal,12.07,14.46,7.86,-17.68,1.962,2.167,0.905,5.19,3.1,0.97,3.95,3.21,21.2,16.34,0.0,6.86,-4.25,-1.201
2018-10-30,UNIONBANK.NS,8.75,7-10%,4.32,1.12,-0.07,4.16,flat,flat,continuation,12.15,11.25,6.01,-20.93,3.101,3.429,0.904,5.46,5.21,1.4,14.335,3.72,34.15,13.8,0.0,4.45,-8.62,-1.604
2018-10-30,JINDALSAW.NS,8.07,7-10%,1.88,3.34,6.74,6.37,continuation,continuation,continuation,3.18,6.87,3.95,-10.8,1.353,1.897,0.713,4.12,1.93,0.63,-7.901,3.08,45.07,13.13,0.0,2.9,-6.7,-2.262
2018-10-30,VBL.NS,7.1,7-10%,2.2,0.61,-6.75,-5.25,flat,reversal,reversal,-0.3,0.34,2.45,8.88,1.34,1.521,0.881,3.04,2.33,1.85,9.886,1.26,9.87,28.73,15.0,0.54,-2.74,-0.312
2018-10-30,NAVINFLUOR.NS,7.08,7-10%,3.04,-5.87,-6.38,-4.04,reversal,reversal,reversal,3.06,0.26,-6.41,-3.94,23.436,28.882,0.811,3.74,3.38,0.59,-5.85,5.76,22.13,10.79,10.0,0.05,-4.24,-1.441
2018-10-31,TECHM.NS,8.58,7-10%,3.49,-3.12,-6.39,-6.27,reversal,reversal,reversal,3.14,2.65,-9.8,0.64,19.109,19.879,0.961,3.66,4.08,0.78,-1.219,5.21,12.26,16.19,0.0,-1.53,-5.14,-2.42
2018-10-31,CUMMINSIND.NS,10.92,10-15%,6.34,0.01,2.31,4.26,flat,flat,continuation,-0.46,-0.3,0.64,1.49,19.454,23.377,0.832,3.3,8.97,1.27,8.187,7.04,15.93,11.47,6.0,-0.56,-5.25,-0.27
2018-10-31,TORNTPOWER.NS,13.17,10-15%,5.07,0.78,2.89,2.91,flat,flat,flat,-3.27,3.01,1.61,-5.28,9.39,9.849,0.953,4.95,6.53,1.16,1.314,5.65,17.5,9.55,0.0,-0.68,-4.59,0.259
2018-11-01,BRIGADE.NS,9.69,7-10%,0.72,0.46,0.34,1.4,flat,flat,flat,0.0,-6.27,-15.94,-17.82,5.582,5.786,0.965,4.84,0.73,1.25,14.691,0.59,47.69,2.24,3.0,-12.7,-17.82,-3.415
2018-11-01,ESCORTS.NS,7.57,7-10%,2.62,0.23,-0.16,-1.46,flat,flat,flat,3.82,10.01,0.97,-30.64,26.748,32.197,0.831,4.41,2.91,1.01,2.218,2.88,38.25,15.9,0.0,5.68,-11.71,-1.25
2018-11-02,MOTHERSON.NS,8.32,7-10%,2.03,0.61,-0.58,-4.9,flat,flat,reversal,-2.45,5.72,-1.31,-20.48,2.483,2.45,1.014,5.93,2.18,1.13,0.059,1.93,32.75,8.58,2.0,-0.95,-11.37,-1.087
2018-11-02,DEEPAKNTR.NS,9.01,7-10%,4.77,-2.74,1.42,-2.36,reversal,flat,reversal,1.59,4.1,-5.94,5.12,9.646,12.759,0.756,4.02,5.94,1.09,7.776,5.46,17.23,18.8,1.0,1.42,-3.54,-3.336
2018-11-09,HAL.NS,16.4,15%+,14.5,-2.65,-8.0,-10.37,reversal,reversal,reversal,3.13,4.79,2.1,-18.75,7.848,8.503,0.923,2.43,49.26,1.82,6.63,27.1,32.1,6.8,0.0,3.05,-4.85,-0.474
2018-11-09,GODFRYPHLP.NS,8.73,7-10%,1.85,-2.1,-2.93,-1.15,reversal,reversal,flat,0.82,1.52,8.52,-5.11,8.568,9.947,0.861,3.63,1.92,0.96,-5.056,2.01,20.77,22.5,7.0,5.25,-1.71,2.675
2018-11-13,RADICO.NS,7.86,7-10%,3.35,1.02,-1.06,-4.55,flat,flat,reversal,4.87,6.23,23.33,-4.28,17.065,18.952,0.9,4.21,3.78,0.7,-7.281,5.41,17.86,38.01,0.0,10.35,5.66,4.901
2018-11-14,NEWGEN.NS,16.03,15%+,11.15,3.36,3.99,9.88,continuation,continuation,continuation,-0.54,-0.81,8.29,6.6,3.225,5.422,0.595,2.65,24.72,0.9,-8.862,27.56,5.04,27.44,5.0,4.63,7.96,2.022
2018-11-15,APOLLOHOSP.NS,8.05,7-10%,5.87,-2.27,-5.49,-3.79,reversal,reversal,reversal,2.14,3.21,5.32,3.73,29.736,41.765,0.712,2.64,8.06,0.72,-10.222,11.18,4.95,28.92,3.0,2.7,4.66,0.39
2018-11-16,BHARTIARTL.NS,9.31,7-10%,3.31,1.23,-0.02,0.54,flat,flat,flat,1.03,1.55,6.39,-17.49,11.445,11.944,0.958,4.13,3.83,0.93,1.356,4.11,29.24,10.87,8.0,2.91,-6.05,0.828
2018-11-22,IDFCFIRSTB.NS,7.14,7-10%,3.37,1.79,-0.51,-1.41,flat,flat,flat,2.54,-0.55,3.26,-23.04,1.027,1.081,0.949,2.84,3.82,0.79,-0.786,4.82,29.56,11.31,8.0,2.95,-2.61,0.676
2018-11-29,PRESTIGE.NS,8.27,7-10%,2.8,9.18,7.11,1.03,continuation,continuation,flat,4.45,5.35,-4.06,-22.1,5.997,6.055,0.99,3.44,3.12,2.56,13.091,1.22,46.15,12.39,0.0,0.08,-5.99,-1.598
