date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d,clv,imom,gap,atr_ratio,d52w,pre_rng,score_clv,score_imom,score_gap,score_atr,score_d52w,score_prng,intraday_score,structure
2024-06-05,LICHSGFIN.NS,7.85,7-10%,1.34,4.62,8.37,14.96,continuation,continuation,continuation,0.961,0.672,2.77,1.64,9.22,5.29,1,0,1,1,1,0,4,mixed
2024-06-05,ABFRL.NS,14.92,10-15%,2.39,5.64,6.21,7.62,continuation,continuation,continuation,0.851,0.764,2.47,3.14,-0.25,4.06,0,1,1,0,1,0,3,mixed
2024-06-05,TRENT.NS,8.06,7-10%,1.61,-0.52,1.34,2.53,flat,flat,flat,0.931,0.539,3.21,2.85,-2.64,1.22,1,0,1,1,1,0,4,mixed
2024-06-05,FEDERALBNK.NS,7.37,7-10%,3.05,-0.9,-0.72,4.7,flat,flat,continuation,0.938,0.622,0.87,4.08,2.5,2.01,1,0,1,0,1,0,3,mixed
2024-06-05,RBLBANK.NS,8.92,7-10%,1.88,-0.2,3.6,6.05,flat,continuation,continuation,0.958,0.698,2.23,2.4,18.79,4.89,1,0,1,1,0,0,3,mixed
2024-06-05,KARURVYSYA.NS,9.63,7-10%,1.36,2.19,10.85,7.0,flat,continuation,continuation,0.897,0.654,3.02,2.34,7.29,4.21,0,0,1,1,1,0,3,mixed
2024-06-05,ASHOKLEY.NS,7.89,7-10%,1.21,0.69,3.24,6.2,flat,continuation,continuation,0.933,0.433,3.66,2.11,5.8,4.14,1,0,1,1,1,0,4,mixed
2024-06-05,EXIDEIND.NS,7.82,7-10%,1.18,7.49,7.08,10.11,continuation,continuation,continuation,0.881,0.615,1.65,2.08,5.09,3.83,0,0,1,1,1,0,3,mixed
2024-06-05,BALKRISIND.NS,7.78,7-10%,0.67,-0.46,4.08,2.76,flat,continuation,flat,0.915,0.864,0.77,2.11,1.62,2.4,1,1,1,1,1,0,5,strong
2024-06-05,NATIONALUM.NS,11.1,10-15%,1.47,2.53,4.12,5.04,flat,continuation,continuation,0.874,0.455,3.69,2.48,14.61,7.51,0,0,1,1,0,0,2,weak
2024-06-05,HINDCOPPER.NS,7.48,7-10%,1.15,5.09,4.89,4.5,continuation,continuation,continuation,0.857,0.399,2.14,1.97,22.81,7.89,0,0,1,1,0,0,2,weak
2024-06-05,EMAMILTD.NS,11.24,10-15%,3.42,1.22,4.76,2.5,flat,continuation,flat,0.598,0.598,0.37,4.46,-5.35,6.8,0,0,1,0,1,0,2,weak
2024-06-05,JYOTHYLAB.NS,13.64,10-15%,3.1,0.29,1.39,-0.01,flat,flat,flat,0.892,0.723,0.27,3.43,19.31,2.27,0,1,1,0,0,0,2,weak
